Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Joel Eriksson Ek,MIN,C,56,19,11,30,16,20,119,2,0,2,0,0,105,37
Jeff Carter,PIT,C,54,17,13,30,3,22,154,1,2,3,0,0,41,30
Yegor Sharangovich,NJ,LW,54,16,14,30,-4,4,114,3,2,0,1,0,20,20
Alex Iafallo,LA,C,55,13,17,30,-8,4,118,2,4,4,0,0,26,39
Denis Gurianov,DAL,RW,55,12,18,30,0,21,130,2,4,4,0,0,63,12
Kasperi Kapanen,PIT,RW,40,11,19,30,15,7,68,3,1,3,0,0,41,8
Tomas Tatar,NJ,LW,50,10,20,30,0,8,82,1,2,6,0,0,63,20
Jason Spezza,TOR,C,54,10,20,30,3,6,81,2,1,4,0,0,26,10
Jesper Bratt,NJ,LW,46,7,23,30,4,8,101,1,2,6,0,1,31,18
Charlie McAvoy,BOS,D,51,5,25,30,22,38,92,0,1,7,0,1,65,80
Mikhail Sergachev,TB,D,56,4,26,30,5,30,108,1,0,8,0,0,66,73
Alexander Wennberg,SEA,C,56,17,12,29,6,8,82,2,3,3,1,0,29,36
Anthony Mantha,WAS,RW,56,15,14,29,-14,25,138,0,3,1,0,0,49,27
Adrian Kempe,LA,C,56,14,15,29,-18,28,127,2,4,10,1,0,47,21
Paul Stastny,WPG,C,56,13,16,29,-3,32,101,4,2,6,0,0,38,19
Tim Stutzle,OTT,LW,53,12,17,29,-18,14,111,2,4,5,0,0,50,15
Evgeny Kuznetsov,WAS,C,41,9,20,29,7,18,78,4,1,7,0,0,21,18
Brent Burns,SJ,D,56,7,22,29,-13,36,138,1,2,4,0,1,31,94
Anthony Beauvillier,NYI,LW,47,15,13,28,15,12,109,5,3,1,0,0,39,13
Jean-Gabriel Pageau,NYI,C,54,14,14,28,10,10,81,3,5,3,2,0,111,58
Calle Jarnkrok,CGY,C,49,13,15,28,13,14,91,2,2,6,1,0,30,15
Kevin Labanc,SJ,RW,55,12,16,28,-9,31,128,2,0,3,0,0,61,15
Sean Monahan,CGY,C,50,10,18,28,-6,10,98,5,4,5,0,0,49,18
Rickard Rakell,PIT,C,52,9,19,28,-14,12,144,1,0,4,0,0,65,16
Evgeni Malkin,PIT,C,33,8,20,28,-4,24,72,0,4,5,0,0,18,12
Seth Jones,CHI,D,56,5,23,28,-18,26,141,1,2,6,0,0,102,101
Pius Suter,DET,LW,55,14,13,27,-5,14,112,3,1,2,0,0,28,34
Nils Hoglander,VAN,LW,56,13,14,27,-4,16,118,1,1,0,0,0,26,19
Mikael Granlund,NSH,C,51,13,14,27,-1,14,74,1,5,2,0,0,46,42
Sam Bennett,FLA,LW,48,10,17,27,-2,52,106,4,1,2,0,0,108,18
Miro Heiskanen,DAL,D,55,8,19,27,-9,12,121,1,3,8,0,0,47,52
Jake Muzzin,TOR,D,53,4,23,27,21,29,103,0,1,1,1,0,101,94
Keith Yandle,PHI,D,56,3,24,27,-8,38,113,1,1,17,0,0,18,27
Justin Schultz,WAS,D,46,3,24,27,12,10,67,1,0,8,0,0,28,49
Mike Reilly,BOS,D,55,0,27,27,5,22,98,0,0,4,0,0,70,43
Frank Vatrano,NYR,LW,56,18,8,26,8,26,158,7,2,2,0,0,69,21
Nick Ritchie,ARI,LW,56,15,11,26,-7,37,121,2,5,4,0,0,102,17
Marcus Foligno,MIN,LW,39,11,15,26,19,49,40,2,0,0,1,0,109,17
Nick Bonino,SJ,C,55,10,16,26,0,26,66,2,3,2,0,0,11,50
Mark Giordano,TOR,D,56,9,17,26,5,14,142,2,4,4,0,0,51,110
Ivan Provorov,PHI,D,56,7,19,26,4,28,126,2,0,10,0,0,56,106
Filip Hronek,DET,D,56,2,24,26,-18,16,114,0,0,11,0,0,67,46
Miles Wood,NJ,LW,55,17,8,25,-6,29,127,2,3,0,0,0,38,25
Jesse Puljujarvi,EDM,RW,55,15,10,25,6,16,115,0,2,2,0,0,101,20
Reilly Smith,VGK,RW,53,14,11,25,10,18,124,1,4,1,2,0,46,20
Mason Appleton,WPG,C,56,12,13,25,11,14,88,1,0,0,0,1,61,22
Viktor Arvidsson,LA,LW,50,10,15,25,9,21,151,2,2,1,0,0,15,33
Janne Kuokkanen,NJ,LW,50,8,17,25,-11,14,61,1,1,3,0,0,10,19
Jared Spurgeon,MIN,D,54,7,18,25,-2,6,94,0,3,6,0,0,52,102
Justin Faulk,STL,D,56,7,18,25,11,35,117,2,1,4,0,2,127,87
Brett Pesce,CAR,D,55,4,21,25,14,20,89,0,1,4,0,0,17,82
Josh Anderson,MON,RW,52,17,7,24,-10,38,125,5,1,1,1,0,139,25
Brandon Saad,STL,LW,44,15,9,24,1,12,68,1,2,1,0,0,16,10
Patrik Laine,CLS,RW,46,12,12,24,-28,25,82,1,4,3,0,0,36,15
Mattias Janmark,VGK,C,56,11,13,24,-12,10,95,0,4,3,1,0,26,14
Adam Lowry,WPG,LW,52,10,14,24,6,13,80,3,0,2,1,0,161,30
Brandon Hagel,TB,LW,52,9,15,24,-7,11,91,2,0,3,0,1,59,28
Max Domi,CAR,C,54,9,15,24,-18,75,99,2,2,1,0,0,15,10
Phillip Danault,LA,C,53,5,19,24,9,24,73,0,0,0,0,1,76,28
Oliver Ekman-Larsson,VAN,D,46,3,21,24,-17,32,83,0,2,12,0,0,72,26
Brendan Gallagher,MON,RW,35,14,9,23,10,16,106,2,3,0,0,0,46,12
Andreas Athanasiou,LA,C,47,10,13,23,-6,27,85,1,0,1,0,0,11,16
Milan Lucic,CGY,LW,56,10,13,23,-8,46,74,0,2,0,0,0,139,12
Victor Rask,SEA,C,54,10,13,23,1,2,53,1,1,5,0,0,21,10
Trevor Moore,LA,LW,56,10,13,23,-5,18,88,0,1,1,2,0,38,10
Gabriel Vilardi,LA,C,54,10,13,23,-8,6,65,3,3,1,0,0,18,19
Jonas Brodin,MIN,D,53,9,14,23,2,18,79,2,1,1,0,0,35,99
Dylan Larkin,DET,C,44,9,14,23,-14,34,134,0,1,5,0,0,38,17
Alex Kerfoot,TOR,C,56,8,15,23,2,12,68,1,0,2,1,0,41,34
Lars Eller,WAS,C,44,8,15,23,-1,21,69,2,0,4,0,0,36,16
Alex Pietrangelo,VGK,D,41,7,16,23,20,16,126,2,0,4,0,1,28,80
Mattias Ekholm,NSH,D,48,6,17,23,19,14,110,2,0,2,0,1,23,46
Rasmus Dahlin,BUF,D,56,5,18,23,-36,26,115,0,1,10,0,0,80,45
Cam Fowler,ANH,D,56,5,18,23,-4,18,75,1,0,4,0,0,27,36
Jonathan Drouin,MON,C,44,2,21,23,-8,20,76,0,0,5,0,0,42,7
Ty Smith,NJ,D,48,2,21,23,-9,22,69,0,1,6,0,0,32,35
Conor Sheary,WAS,LW,53,14,8,22,-1,14,88,1,1,2,0,0,24,20
Colin Blackwell,TOR,C,47,12,10,22,2,15,64,2,3,2,0,0,45,19
Eeli Tolvanen,NSH,LW,40,11,11,22,-10,4,65,4,6,6,0,0,78,16
Dillon Dube,CGY,C,51,11,11,22,-1,20,84,0,2,0,0,0,59,14
Aaron Ekblad,FLA,D,35,11,11,22,5,33,101,3,6,5,0,0,24,27
Casey Mittelstadt,BUF,C,41,10,12,22,-10,10,61,2,3,3,1,1,9,12
Anthony Cirelli,TB,C,50,9,13,22,0,10,75,3,1,3,2,0,64,32
Erik Karlsson,SJ,D,52,8,14,22,-18,18,110,1,3,5,0,1,20,69
Dmitry Orlov,WAS,D,51,8,14,22,16,20,83,2,0,2,0,0,87,50
Tyler Johnson,CHI,C,55,8,14,22,-1,16,77,1,2,1,0,0,63,15
Filip Chytil,NYR,C,42,8,14,22,9,10,76,0,0,0,0,0,15,19
Ryan Johansen,NSH,C,48,7,15,22,0,22,67,0,3,4,0,0,43,16
Teddy Blueger,PIT,C,43,7,15,22,10,16,49,1,0,0,3,0,53,25
Ryan Hartman,MIN,RW,51,7,15,22,0,33,74,2,0,3,1,1,55,33
Alex Goligoski,MIN,D,56,3,19,22,2,14,72,0,0,7,0,0,76,108
Adam Henrique,ANH,C,45,12,9,21,-8,11,77,2,1,1,0,1,40,32
Alexis Lafreniere,NYR,LW,56,12,9,21,-7,8,67,4,0,0,0,0,43,11
Oliver Wahlstrom,NYI,RW,44,12,9,21,2,21,94,1,4,6,0,0,57,14
Valeri Nichushkin,COL,LW,55,10,11,21,9,4,98,4,0,1,1,0,65,28
Kyle Palmieri,NYI,RW,51,10,11,21,-5,20,115,2,2,4,1,0,62,12
Elias Pettersson,VAN,C,26,10,11,21,0,6,63,1,4,1,0,1,11,9
Pierre-Luc Dubois,WPG,C,46,9,12,21,-8,38,76,3,1,5,0,0,59,26
