Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Steven Lorentz,FLA,F,80,10,9,19,0.24,77.9,1.0,1,2,111,133,46
Trevor Moore,LA,F,59,10,19,29,0.49,77.3,1.3,7,2,163,60,23
Christian Dvorak,MON,F,64,10,18,28,0.44,83.1,1.3,3,1,88,13,66
Hampus Lindholm,BOS,D,80,10,43,53,0.66,145.1,1.8,17,0,158,78,100
Alex Kerfoot,ARI,F,82,10,22,32,0.39,86.2,1.0,3,2,133,54,46
Jakob Silfverberg,ANH,F,81,10,16,26,0.32,80.1,1.0,7,0,141,10,51
Cam Fowler,ANH,D,82,10,38,48,0.59,131.8,1.6,14,0,130,18,104
Zemgus Girgensons,BUF,F,80,10,8,18,0.23,74.0,0.9,1,0,114,96,49
Jesper Boqvist,BOS,F,70,10,11,21,0.3,52.7,0.7,0,0,67,50,20
Jesper Fast,CAR,F,80,10,19,29,0.36,78.5,1.0,0,3,76,104,40
Nick Foligno,CHI,F,60,10,16,26,0.43,74.8,1.2,5,0,71,147,29
Andrew Cogliano,COL,F,79,10,9,19,0.24,71.0,0.9,0,2,85,55,54
Jason Dickinson,CHI,F,78,9,21,30,0.38,104.1,1.3,1,4,114,112,80
Philipp Kurashev,CHI,F,70,9,16,25,0.36,68.4,1.0,4,0,116,38,34
Peyton Krebs,BUF,F,74,9,17,26,0.35,64.1,0.9,3,1,78,93,20
Morgan Geekie,BOS,F,69,9,19,28,0.41,67.4,1.0,1,0,81,53,33
Max Comtois,FA,F,64,9,10,19,0.3,59.5,0.9,2,0,89,81,27
Paul Stastny,FA,F,73,9,13,22,0.3,52.1,0.7,4,0,80,21,18
Max Jones,ANH,F,69,9,10,19,0.28,58.7,0.8,0,0,107,110,18
Sean Durzi,ARI,D,72,9,29,38,0.53,143.8,2.0,16,0,110,68,142
Matt Roy,LA,D,82,9,17,26,0.32,137.9,1.7,0,2,135,119,153
Trevor Lewis,LA,F,82,9,11,20,0.24,76.7,0.9,1,1,144,158,33
Drew Doughty,LA,D,81,9,43,52,0.64,152.5,1.9,27,0,145,115,104
Brandon Duhaime,MIN,F,51,9,1,10,0.2,51.1,1.0,0,1,80,146,18
Nick Cousins,FLA,F,79,9,18,27,0.34,72.9,0.9,0,0,102,87,36
Mattias Ekholm,EDM,D,78,9,23,32,0.41,118.1,1.5,4,1,135,91,104
Craig Smith,DAL,F,64,9,7,16,0.25,51.2,0.8,1,0,104,48,21
Logan O'Connor,COL,F,82,9,17,26,0.32,83.5,1.0,0,3,104,116,50
Joe Veleno,DET,F,81,9,11,20,0.25,76.7,0.9,4,0,85,152,44
Jake Walman,DET,D,63,9,9,18,0.29,107.2,1.7,2,0,140,47,121
Andrew Copp,DET,F,82,9,33,42,0.51,91.7,1.1,5,1,120,32,45
Ty Dellandrea,DAL,F,82,9,19,28,0.34,79.7,1.0,0,3,92,125,39
Filip Hronek,VAN,D,64,9,30,39,0.61,107.6,1.7,16,0,124,102,58
John Carlson,WAS,D,40,9,20,29,0.72,104.6,2.6,12,1,124,42,87
Julien Gauthier,NYI,F,57,9,5,14,0.25,45.3,0.8,0,0,53,105,13
K'Andre Miller,NYR,D,79,9,34,43,0.54,134.5,1.7,3,2,113,162,105
Wade Allison,PHI,F,60,9,6,15,0.25,82.9,1.4,0,0,89,190,62
Jakob Chychrun,OTT,D,48,9,24,33,0.69,107.4,2.2,8,0,144,55,83
Jamie Oleksiak,SEA,D,75,9,16,25,0.33,111.7,1.5,0,0,76,126,115
Victor Hedman,TB,D,76,9,40,49,0.64,162.5,2.1,14,3,185,95,136
Sammy Blais,STL,F,71,9,16,25,0.35,82.8,1.2,1,0,70,238,35
Austin Watson,TB,F,75,9,2,11,0.15,76.4,1.0,0,3,79,165,61
Tyler Motte,TB,F,62,8,11,19,0.31,80.2,1.3,0,1,109,118,60
Calle Rosen,STL,D,49,8,10,18,0.37,59.3,1.2,0,0,62,16,51
Tyler Bertuzzi,TOR,F,50,8,22,30,0.6,70.1,1.4,10,0,107,54,22
Adam Larsson,SEA,D,82,8,25,33,0.4,164.5,2.0,0,1,143,222,173
Colin White,PIT,F,68,8,7,15,0.22,50.0,0.7,0,0,64,61,29
Ryan Graves,PIT,D,78,8,18,26,0.33,133.4,1.7,0,2,141,83,152
Jacob Trouba,NYR,D,82,8,22,30,0.37,181.2,2.2,5,2,199,218,196
Vladislav Namestnikov,WPG,F,77,8,17,25,0.32,75.6,1.0,3,0,108,108,39
Morgan Barron,WPG,F,70,8,13,21,0.3,76.0,1.1,1,3,112,118,44
Cole Perfetti,WPG,F,51,8,22,30,0.59,64.0,1.3,5,0,90,35,22
Esa Lindell,DAL,D,82,8,16,24,0.29,126.8,1.5,0,2,116,87,147
Joel Kiviranta,COL,F,70,8,1,9,0.13,47.7,0.7,0,1,85,117,20
Adam Erne,EDM,F,61,8,10,18,0.3,75.5,1.2,0,1,55,160,55
Sam Gagner,EDM,F,48,8,6,14,0.29,39.9,0.8,3,0,78,16,14
Evan Bouchard,EDM,D,82,8,32,40,0.49,118.6,1.4,13,1,156,95,77
Shea Theodore,VGK,D,55,8,33,41,0.75,111.7,2.0,9,0,136,16,86
Keegan Kolesar,VGK,F,74,8,10,18,0.24,75.7,1.0,0,0,63,279,31
Brendan Gallagher,MON,F,37,8,6,14,0.38,40.6,1.1,2,0,93,18,13
Mike Matheson,MON,D,48,8,26,34,0.71,105.4,2.2,9,2,126,53,80
Ondrej Palat,NJ,F,49,8,15,23,0.47,69.4,1.4,3,0,79,70,44
Danton Heinen,BOS,F,65,8,14,22,0.34,61.2,0.9,2,0,96,76,26
Josh Bailey,FA,F,64,8,17,25,0.39,58.3,0.9,3,0,72,11,31
Brett Ritchie,FA,F,50,8,5,13,0.26,40.5,0.8,1,0,68,77,9
Evgeny Svechnikov,FA,F,59,8,6,14,0.24,48.9,0.8,0,0,64,100,21
Mason Shaw,FA,F,59,7,10,17,0.29,56.4,0.9,0,2,92,87,27
Milan Lucic,BOS,F,77,7,12,19,0.25,57.6,0.7,0,0,73,168,15
J.J. Moser,ARI,D,82,7,24,31,0.38,129.3,1.6,11,0,93,80,137
Charlie McAvoy,BOS,D,67,7,45,52,0.78,152.9,2.3,19,0,105,84,131
Tyson Jost,BUF,F,71,7,18,25,0.35,63.9,0.9,0,0,98,61,32
Dmitry Orlov,CAR,D,66,7,29,36,0.55,116.1,1.8,8,1,124,137,85
Noah Hanifin,CGY,D,81,7,31,38,0.47,139.2,1.7,8,1,176,76,129
Jaccob Slavin,CAR,D,76,7,20,27,0.36,102.7,1.3,0,1,131,36,103
Lukas Reichel,CHI,F,23,7,8,15,0.65,35.9,1.5,3,0,42,7,15
Connor Murphy,CHI,D,80,7,6,13,0.16,126.0,1.6,0,2,85,165,160
Walker Duehr,CGY,F,27,7,4,11,0.41,30.2,1.1,0,0,47,55,4
Emil Bemstrom,CLS,F,55,7,15,22,0.4,53.6,1.0,6,0,95,16,21
Damon Severson,CLS,D,81,7,26,33,0.41,114.6,1.4,4,1,102,44,115
Kiefer Sherwood,NSH,F,32,7,6,13,0.41,44.5,1.4,2,0,57,103,15
Liam Foudy,NSH,F,62,7,7,14,0.23,42.7,0.7,0,0,67,60,18
Denis Gurianov,NSH,F,66,7,10,17,0.26,54.9,0.8,3,0,116,43,27
Luke Evangelista,NSH,F,24,7,8,15,0.62,32.3,1.3,2,0,54,9,6
Tomas Nosek,NJ,F,66,7,11,18,0.27,55.3,0.8,0,2,69,69,31
Joel Armia,MON,F,43,7,7,14,0.33,45.1,1.0,1,1,69,37,25
Michael Pezzetta,MON,F,63,7,8,15,0.24,67.4,1.1,1,0,70,239,28
Mark Jankowski,NSH,F,50,7,5,12,0.24,46.2,0.9,0,3,57,45,31
Pavel Dorofeyev,VGK,F,18,7,2,9,0.5,26.3,1.4,3,0,40,3,9
Jaret Anderson-Dolan,LA,F,46,7,5,12,0.26,45.5,1.0,1,0,54,61,29
Marcus Foligno,MIN,F,65,7,14,21,0.32,81.5,1.2,3,0,83,237,40
Evgenii Dadonov,DAL,F,73,7,26,33,0.45,79.8,1.1,8,0,110,33,43
Devon Toews,COL,D,80,7,43,50,0.62,155.3,1.9,7,0,165,93,138
Robby Fabbri,DET,F,28,7,9,16,0.57,42.9,1.5,8,0,35,49,15
Nate Schmidt,WPG,D,71,7,12,19,0.27,85.6,1.2,5,0,101,45,85
Trevor van Riemsdyk,WAS,D,75,7,16,23,0.31,122.3,1.6,1,0,97,21,160
Rasmus Sandin,WAS,D,71,7,28,35,0.49,112.7,1.6,11,0,81,136,87
Nicklas Backstrom,WAS,F,39,7,14,21,0.54,53.3,1.4,11,0,59,24,23
Quinn Hughes,VAN,D,78,7,69,76,0.97,154.3,2.0,34,1,154,29,71
Tyler Pitlick,NYR,F,61,7,9,16,0.26,53.2,0.9,0,0,54,103,29
Erik Gustafsson,NYR,D,70,7,35,42,0.6,104.9,1.5,14,0,122,52,63
Oliver Wahlstrom,NYI,F,35,7,9,16,0.46,43.0,1.2,1,0,70,50,15
Matt Martin,NYI,F,81,7,12,19,0.23,85.2,1.0,0,0,82,295,43
Ryan Poehling,PHI,F,53,7,7,14,0.26,55.1,1.0,0,3,64,57,41
Mark Kastelic,OTT,F,65,7,4,11,0.17,59.2,0.9,0,0,73,154,37
Travis Sanheim,PHI,D,81,7,16,23,0.28,116.7,1.4,1,1,111,61,137
Justin Schultz,SEA,D,73,7,27,34,0.47,96.3,1.3,13,0,98,30,72
Torey Krug,STL,D,63,7,25,32,0.51,106.1,1.7,14,0,126,40,87
David Kampf,TOR,F,82,7,20,27,0.33,68.1,0.8,0,3,107,74,29
Timothy Liljegren,TOR,D,67,6,12,18,0.27,91.1,1.4,1,2,84,107,93
Jake Neighbours,STL,F,43,6,4,10,0.23,39.1,0.9,2,0,53,63,21
Tanner Jeannot,TB,F,76,6,12,18,0.24,95.2,1.2,0,1,107,290,62
Oskar Lindblom,SJ,F,73,6,9,15,0.21,47.4,0.6,1,0,75,64,24
Fabian Zetterlund,SJ,F,67,6,17,23,0.34,57.6,0.9,3,0,118,53,20
Nicolas Deslauriers,PHI,F,80,6,6,12,0.15,69.1,0.9,0,1,70,306,26
Scott Mayfield,NYI,D,82,6,18,24,0.29,136.6,1.7,0,0,119,107,168
Cal Clutterbuck,NYI,F,49,6,6,12,0.24,58.3,1.2,0,0,44,194,33
Casey Cizikas,NYI,F,81,6,15,21,0.26,86.9,1.1,0,2,111,188,58
Adam Pelech,NYI,D,61,6,15,21,0.34,99.9,1.6,0,1,97,77,110
Simon Holmstrom,NYI,F,50,6,3,9,0.18,30.8,0.6,0,0,39,9,22
Alex Belzile,NYR,F,31,6,8,14,0.45,37.7,1.2,0,0,40,27,22
Travis Hamonic,OTT,D,75,6,15,21,0.28,125.0,1.7,1,3,136,109,143
Phil Di Giuseppe,VAN,F,30,6,6,12,0.4,36.3,1.2,1,1,71,52,10
Martin Fehervary,WAS,D,67,6,10,16,0.24,116.8,1.7,0,0,91,217,128
Sean Monahan,WPG,F,25,6,11,17,0.68,35.5,1.4,4,0,55,10,8
Dylan DeMelo,WPG,D,75,6,21,27,0.36,106.8,1.4,0,3,93,120,102
Axel Jonsson-Fjallby,WPG,F,50,6,8,14,0.28,39.2,0.8,0,1,54,43,18
Nils Lundkvist,DAL,D,60,6,10,16,0.27,71.3,1.2,3,0,94,49,67
Olli Maatta,DET,D,78,6,17,23,0.29,107.0,1.4,0,0,62,78,128
Samuel Girard,COL,D,76,6,31,37,0.49,124.1,1.6,8,1,119,67,116
Jani Hakanpaa,DAL,D,82,6,10,16,0.2,117.0,1.4,0,0,86,224,128
Kevin Stenlund,FLA,F,54,6,3,9,0.17,39.4,0.7,0,2,63,31,28
Jujhar Khaira,MIN,F,51,6,8,14,0.27,58.2,1.1,2,1,59,108,40
Connor Dewar,MIN,F,81,6,12,18,0.22,72.1,0.9,0,4,87,124,50
Vladislav Gavrikov,LA,D,72,6,13,19,0.26,99.8,1.4,0,2,89,74,115
Brett Howden,VGK,F,54,6,7,13,0.24,52.0,1.0,0,0,53,107,34
Jesse Ylonen,MON,F,37,6,10,16,0.43,42.2,1.1,1,0,43,14,28
Colin Miller,NJ,D,79,6,15,21,0.27,83.9,1.1,1,0,106,108,70
Nathan Bastian,NJ,F,43,6,9,15,0.35,56.1,1.3,0,0,62,99,38
Juuso Parssinen,NSH,F,45,6,19,25,0.56,56.5,1.2,8,0,49,76,18
Ivan Provorov,CLS,D,82,6,21,27,0.33,137.2,1.7,2,2,115,97,162
Andrew Peeke,CLS,D,80,6,7,13,0.16,145.0,1.8,0,1,90,180,197
Joey Anderson,CHI,F,38,6,3,9,0.24,31.2,0.8,0,0,41,36,17
Rem Pitlick,CHI,F,46,6,9,15,0.33,36.3,0.8,1,1,30,23,18
Jalen Chatfield,CAR,D,78,6,8,14,0.18,69.6,0.9,0,2,93,78,63
Jordan Greenway,BUF,F,62,6,5,11,0.18,57.1,0.9,0,0,99,107,39
Dylan Guenther,ARI,F,33,6,9,15,0.45,36.6,1.1,6,0,53,18,11
Adam Ruzicka,ARI,F,44,6,14,20,0.45,42.2,1.0,6,0,64,28,8
Brett Leason,ANH,F,54,6,3,9,0.17,32.6,0.6,0,0,51,35,18
Josh Archibald,FA,F,62,6,6,12,0.19,58.6,0.9,0,0,71,195,28
Alex Chiasson,FA,F,20,6,3,9,0.45,25.9,1.2,7,0,25,14,7
Michael Stone,FA,D,48,6,5,11,0.23,62.1,1.3,2,0,92,54,59
Derek Stepan,FA,F,73,5,6,11,0.15,39.7,0.5,0,1,98,29,21
Derek Grant,FA,F,46,5,13,18,0.39,47.8,1.0,2,0,72,36,26
Jesse Puljujarvi,FA,F,75,5,11,16,0.21,60.4,0.8,0,0,125,139,26
Derek Forbort,BOS,D,54,5,7,12,0.22,76.4,1.4,0,2,38,106,88
Connor Clifton,BUF,D,78,5,18,23,0.29,118.6,1.5,0,1,93,208,120
Brett Pesce,CAR,D,82,5,25,30,0.37,111.1,1.4,4,2,144,37,110
A.J. Greer,CGY,F,61,5,7,12,0.2,46.2,0.8,0,0,66,101,25
Boris Katchouk,CHI,F,58,5,11,16,0.28,44.3,0.8,0,1,68,85,15
Mathieu Olivier,CLS,F,66,5,10,15,0.23,74.3,1.1,0,0,75,178,58
Adam Boqvist,CLS,D,46,5,19,24,0.52,66.1,1.4,9,0,68,23,47
Philip Tomasino,NSH,F,31,5,13,18,0.58,42.2,1.4,6,0,54,28,16
Arber Xhekaj,MON,D,51,5,8,13,0.25,65.9,1.3,3,0,75,159,46
Zach Whitecloud,VGK,D,59,5,7,12,0.2,80.9,1.4,0,0,64,90,97
Mikey Anderson,LA,D,77,5,15,20,0.26,115.7,1.5,1,1,90,162,129
Patrick Maroon,MIN,F,80,5,9,14,0.17,48.9,0.6,1,0,62,172,12
Jeff Petry,DET,D,61,5,26,31,0.51,126.3,2.1,9,0,113,190,111
Ben Chiarot,DET,D,76,5,14,19,0.25,131.7,1.7,0,0,110,147,164
Moritz Seider,DET,D,82,5,37,42,0.51,185.2,2.3,15,2,140,207,190
Elmer Soderblom,DET,F,21,5,3,8,0.38,23.6,1.1,0,0,30,21,11
Mason Appleton,WPG,F,41,5,11,16,0.39,38.8,0.9,1,0,71,47,11
Nick Jensen,WAS,D,77,5,24,29,0.38,120.1,1.6,0,1,109,107,128
Braden Schneider,NYR,D,81,5,13,18,0.22,110.6,1.4,0,0,79,147,130
Ryan Pulock,NYI,D,82,5,21,26,0.32,124.1,1.5,5,0,126,140,128
Pierre-Olivier Joseph,PIT,D,75,5,16,21,0.28,65.1,0.9,3,0,108,88,36
Luke Kunin,SJ,F,31,5,8,13,0.42,45.6,1.5,4,0,58,63,27
Drew O'Connor,PIT,F,46,5,6,11,0.24,35.5,0.8,0,0,62,63,14
Nick Perbix,TB,D,69,5,15,20,0.29,75.9,1.1,0,0,111,73,65
Pontus Holmberg,TOR,F,37,5,8,13,0.35,32.6,0.9,1,0,27,24,18
Ryan Reaves,TOR,F,73,5,10,15,0.21,56.4,0.8,0,0,48,196,24
Michael Eyssimont,TB,F,54,5,10,15,0.28,52.6,1.0,0,0,124,107,19
Mark Giordano,TOR,D,78,4,20,24,0.31,118.7,1.5,0,1,107,60,147
Morgan Rielly,TOR,D,65,4,37,41,0.63,115.6,1.8,17,0,126,70,85
Dylan Gambrell,TOR,F,60,4,6,10,0.17,48.1,0.8,0,2,46,60,45
Mario Ferraro,SJ,D,72,4,7,11,0.15,107.5,1.5,1,0,66,129,145
Jack Studnicka,SJ,F,48,4,4,8,0.17,34.1,0.7,0,0,65,61,19
Colton Parayko,STL,D,79,4,23,27,0.34,129.3,1.6,2,1,133,115,144
Pierre-Edouard Bellemare,SEA,F,73,4,9,13,0.18,53.8,0.7,0,2,51,67,48
Nick Seeler,PHI,D,77,4,10,14,0.18,120.0,1.6,0,1,84,126,161
Jake Sanderson,OTT,D,77,4,28,32,0.42,135.5,1.8,17,0,132,43,147
Zack MacEwen,OTT,F,56,4,6,10,0.18,50.8,0.9,0,0,73,150,29
Nicolas Aube-Kubel,WAS,F,53,4,8,12,0.23,38.9,0.7,0,0,67,117,9
Aliaksei Protas,WAS,F,58,4,11,15,0.26,38.7,0.7,0,0,83,39,15
Teddy Blueger,VAN,F,63,4,12,16,0.25,59.6,0.9,0,1,85,71,47
Vasily Podkolzin,VAN,F,39,4,3,7,0.18,27.8,0.7,0,0,41,52,15
Nils Aman,VAN,F,68,4,12,16,0.24,50.9,0.7,0,2,50,44,41
Ben Meyers,COL,F,39,4,0,4,0.1,20.3,0.5,0,0,33,25,13
Caleb Jones,COL,D,73,4,12,16,0.22,101.2,1.4,4,0,86,116,118
Josh Mahura,FLA,D,82,4,12,16,0.2,72.9,0.9,0,0,78,101,70
Luke Schenn,NSH,D,70,4,18,22,0.31,115.9,1.6,0,2,81,318,98
Juraj Slafkovsky,MON,F,39,4,6,10,0.26,36.5,0.9,2,0,42,53,24
Jordan Harris,MON,D,65,4,13,17,0.26,82.8,1.3,1,0,70,53,98
Kaiden Guhle,MON,D,44,4,14,18,0.41,73.7,1.7,0,0,48,84,77
Justin Barron,MON,D,39,4,11,15,0.38,48.4,1.2,2,1,40,49,38
Cole Smith,NSH,F,69,4,13,17,0.25,60.7,0.9,0,2,64,198,25
Michael McLeod,NJ,F,80,4,22,26,0.33,77.7,1.0,0,1,90,127,51
Jonas Siegenthaler,NJ,D,80,4,17,21,0.26,119.5,1.5,1,0,84,101,151
John Marino,NJ,D,64,4,14,18,0.28,74.1,1.2,0,1,67,44,81
Brad Hunt,COL,D,47,4,6,10,0.21,25.2,0.5,0,0,46,16,10
Nick Blankenburg,CLS,D,36,4,10,14,0.39,55.6,1.5,4,0,50,61,49
Yegor Chinakhov,CLS,F,30,4,9,13,0.43,33.6,1.1,2,0,44,27,17
Reese Johnson,CHI,F,57,4,2,6,0.11,44.7,0.8,0,0,54,178,23
Mackenzie Entwistle,CHI,F,66,4,6,10,0.15,46.1,0.7,1,0,50,126,28
Cole Guttman,CHI,F,14,4,2,6,0.43,17.0,1.2,0,0,26,4,8
MacKenzie Weegar,CGY,D,81,4,27,31,0.38,130.1,1.6,3,1,160,186,117
Owen Power,BUF,D,79,4,31,35,0.44,102.2,1.3,8,1,130,27,86
Jakub Lauko,BOS,F,23,4,3,7,0.3,20.1,0.9,0,0,17,44,6
Patrick Brown,BOS,F,61,4,8,12,0.2,60.2,1.0,0,1,60,167,42
Matt Grzelcyk,BOS,D,75,4,22,26,0.35,84.3,1.1,0,0,102,51,78
Kevin Shattenkirk,BOS,D,75,4,23,27,0.36,114.9,1.5,8,0,145,79,115
Juuso Valimaki,ARI,D,78,4,30,34,0.44,107.6,1.4,12,0,93,53,98
Josh Brown,ARI,D,68,4,3,7,0.1,92.0,1.4,0,0,68,152,118
Matt Dumba,ARI,D,79,4,10,14,0.18,96.3,1.2,0,0,99,104,116
Isac Lundestrom,ANH,F,61,4,10,14,0.23,48.0,0.8,0,1,60,20,43
Vitali Kravtsov,FA,F,44,4,4,8,0.18,28.1,0.6,3,0,43,28,15
Martin Kaut,FA,F,36,4,4,8,0.22,21.7,0.6,1,0,44,23,5
Scott Harrington,FA,D,45,4,7,11,0.24,62.4,1.4,0,0,33,51,78
Josh Leivo,FA,F,51,4,12,16,0.31,41.1,0.8,0,0,91,55,13
Saku Maenalanen,FA,F,64,4,6,10,0.16,46.9,0.7,0,0,61,113,31
Lukas Sedlak,FA,F,30,3,5,8,0.27,37.2,1.2,0,1,44,58,31
Sam Carrick,ANH,F,52,3,4,7,0.13,36.8,0.7,0,0,50,98,24
Kieffer Bellows,FA,F,28,3,0,3,0.11,19.0,0.7,0,0,32,48,10
Rudolfs Balcers,FA,F,17,3,2,5,0.29,13.1,0.8,0,0,24,7,4
Liam O'Brien,ARI,F,56,3,8,11,0.2,52.2,0.9,0,0,39,203,28
Troy Stecher,ARI,D,81,3,11,14,0.17,78.8,1.0,0,0,88,70,92
Brandon Carlo,BOS,D,75,3,13,16,0.21,100.2,1.3,0,2,94,128,116
Anthony Richard,BOS,F,13,3,2,5,0.38,13.3,1.0,0,0,13,25,3
Henri Jokiharju,BUF,D,60,3,10,13,0.22,59.2,1.0,0,0,79,63,58
Dryden Hunt,CGY,F,37,3,0,3,0.08,20.3,0.5,0,0,23,100,4
Jakob Pelletier,CGY,F,24,3,4,7,0.29,24.8,1.0,3,0,48,15,14
Marcus Bjork,CLS,D,33,3,8,11,0.33,48.4,1.5,6,0,34,45,47
Cole Sillinger,CLS,F,64,3,8,11,0.17,53.3,0.8,3,0,93,105,36
Zach Werenski,CLS,D,13,3,5,8,0.62,28.6,2.2,2,0,41,5,24
Curtis Lazar,NJ,F,49,3,2,5,0.1,53.8,1.1,0,0,55,138,53
Chris Tierney,NJ,F,36,3,7,10,0.28,27.4,0.8,0,1,19,15,21
Jeremy Lauzon,NSH,D,67,3,9,12,0.18,85.7,1.3,0,1,77,250,75
Jordan Gross,NSH,D,15,3,0,3,0.2,17.9,1.1,1,0,24,10,16
Johnny Kovacevic,MON,D,77,3,12,15,0.19,79.5,1.0,0,0,92,93,86
Quinton Byfield,LA,F,53,3,19,22,0.42,46.2,0.9,1,0,74,53,16
Jonas Brodin,MIN,D,60,3,11,14,0.23,97.0,1.6,0,2,90,50,130
David Savard,MON,D,62,3,17,20,0.32,123.9,2.0,0,1,63,61,176
Jacob Middleton,MIN,D,79,3,12,15,0.19,115.4,1.5,0,1,79,115,155
Nicolas Hague,VGK,D,81,3,14,17,0.21,108.5,1.3,0,0,103,117,133
Ben Hutton,VGK,D,31,3,5,8,0.26,35.5,1.1,1,0,52,18,34
Alec Martinez,VGK,D,77,3,11,14,0.18,151.9,2.0,0,1,76,48,244
Jonah Gadjovich,FLA,F,35,3,4,7,0.2,24.9,0.7,0,0,32,92,5
Lane Pederson,EDM,F,27,3,3,6,0.22,24.0,0.9,0,0,27,68,11
Dmitry Kulikov,FLA,D,67,3,13,16,0.24,91.0,1.4,0,0,84,96,108
Dylan Holloway,EDM,F,51,3,6,9,0.18,32.7,0.6,0,0,44,83,16
Brett Kulak,EDM,D,82,3,17,20,0.24,99.4,1.2,0,3,114,105,106
Ryan Suter,DAL,D,82,3,22,25,0.3,105.3,1.3,4,1,92,81,115
Austin Czarnik,DET,F,29,3,2,5,0.17,19.3,0.7,1,0,27,16,13
Nils Hoglander,VAN,F,25,3,6,9,0.36,21.0,0.8,0,0,29,21,8
Carson Soucy,VAN,D,78,3,13,16,0.21,90.5,1.2,0,1,87,143,96
Ethan Bear,WAS,D,61,3,13,16,0.26,71.9,1.2,0,1,75,39,82
Rasmus Kupari,WPG,F,66,3,12,15,0.23,48.8,0.7,0,1,53,80,34
Artem Zub,OTT,D,53,3,7,10,0.19,63.7,1.2,0,0,41,131,67
Mathieu Joseph,OTT,F,56,3,15,18,0.32,52.6,0.9,3,3,66,80,28
Rasmus Ristolainen,PHI,D,74,3,17,20,0.27,122.8,1.6,5,3,86,162,142
Jansen Harkins,PIT,F,22,3,2,5,0.23,16.9,0.7,0,0,18,16,11
Marc Staal,PHI,D,82,3,12,15,0.18,99.7,1.2,0,0,55,152,122
Sean Walker,PHI,D,70,3,10,13,0.19,85.6,1.2,1,0,94,77,104
Karson Kuhlman,NYI,F,47,3,4,7,0.15,27.9,0.6,0,0,48,41,18
Alexander Holtz,NJ,F,19,3,1,4,0.21,12.7,0.6,2,0,21,6,4
Connor Mackey,NYR,D,30,3,4,7,0.23,33.7,1.1,0,0,31,61,29
Will Borgen,SEA,D,82,3,17,20,0.24,95.4,1.2,0,0,76,203,89
Filip Zadina,SJ,F,30,3,4,7,0.23,24.8,0.8,0,0,51,22,15
Calen Addison,SJ,D,62,3,26,29,0.47,69.6,1.1,18,0,77,19,38
Jan Rutta,SJ,D,56,3,6,9,0.16,60.5,1.1,0,0,64,71,70
Simon Benoit,TOR,D,78,3,7,10,0.13,106.8,1.4,0,0,82,216,128
Ian Cole,VAN,D,78,3,14,17,0.22,104.1,1.3,0,0,109,117,123
Jake McCabe,TOR,D,76,3,22,25,0.33,129.4,1.7,0,0,96,163,151
Luke Glendening,TB,F,70,3,3,6,0.09,57.9,0.8,0,2,65,114,60
Nikita Alexandrov,STL,F,28,3,4,7,0.25,22.1,0.8,0,0,28,28,13
Calvin de Haan,TB,D,53,2,10,12,0.23,52.0,1.0,0,0,51,84,49
Nathan Walker,STL,F,56,2,8,10,0.18,42.0,0.8,0,0,43,82,35
Erik Cernak,TB,D,70,2,14,16,0.23,98.6,1.4,0,2,87,209,100
Logan Brown,TB,F,30,2,4,6,0.2,15.5,0.5,0,0,18,22,7
T.J. Brodie,TOR,D,58,2,12,14,0.24,82.5,1.4,0,1,58,47,111
Nick Robertson,TOR,F,15,2,3,5,0.33,15.0,1.0,0,0,27,18,7
Conor Timmins,TOR,D,27,2,12,14,0.52,31.2,1.1,4,0,19,23,18
Jacob Peterson,SJ,F,12,2,6,8,0.67,16.8,1.3,2,0,21,12,5
Anthony Duclair,SJ,F,20,2,7,9,0.45,21.8,1.1,0,0,43,20,9
Kyle Burroughs,SJ,D,48,2,3,5,0.1,70.2,1.5,0,0,47,165,84
Nick Leddy,STL,D,78,2,21,23,0.29,85.2,1.1,0,0,79,43,96
Samuel Bolduc,NYI,D,17,2,1,3,0.18,17.6,1.0,0,0,20,26,16
Alexander Romanov,NYI,D,76,2,20,22,0.29,118.8,1.6,0,1,100,198,129
Kevin Bahl,NJ,D,42,2,6,8,0.19,38.1,0.9,0,0,27,64,38
Cal Foote,NJ,D,50,2,5,7,0.14,44.7,0.9,0,0,39,58,52
Robert Bortuzzo,NYI,D,43,2,3,5,0.12,40.9,0.9,0,0,30,64,49
Robin Salo,NYI,D,11,2,2,4,0.36,14.0,1.3,0,0,9,6,13
Cam York,PHI,D,54,2,18,20,0.37,67.1,1.2,3,1,42,44,69
Tanner Laczynski,PHI,F,32,2,2,4,0.12,16.3,0.5,0,0,23,30,10
Vinnie Hinostroza,PIT,F,26,2,9,11,0.42,20.9,0.8,0,1,38,1,7
Ridly Greig,OTT,F,20,2,7,9,0.45,20.3,1.0,3,0,30,33,3
Erik Brannstrom,OTT,D,74,2,16,18,0.24,84.3,1.1,1,0,74,49,103
Dylan Samberg,WPG,D,63,2,6,8,0.13,71.0,1.1,0,1,49,91,93
Joe Snively,WAS,F,12,2,2,4,0.33,11.0,0.9,0,0,16,4,6
Brenden Dillon,WPG,D,82,2,21,23,0.28,107.6,1.3,0,1,83,198,108
Joel Edmundson,WAS,D,61,2,11,13,0.21,108.1,1.8,0,1,69,112,149
Matt Irwin,VAN,D,61,2,3,5,0.08,64.1,1.0,0,0,79,117,75
