Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Jimmy Vesey,NJ,F,68,8,7,15,0.22,58.0,0.9,0,2,110,85,29
Joe Veleno,DET,F,66,8,7,15,0.23,55.1,0.8,0,0,73,123,25
Tyler Motte,NYR,F,58,7,8,15,0.26,73.3,1.3,0,1,101,117,58
Juho Lammikko,VAN,F,75,7,8,15,0.2,61.0,0.8,0,0,67,93,46
Darren Helm,COL,F,68,7,8,15,0.22,57.2,0.8,0,2,93,114,27
Cal Clutterbuck,NYI,F,59,6,9,15,0.25,63.3,1.1,0,1,74,229,23
Brandon Carlo,BOS,D,79,6,9,15,0.19,100.8,1.3,1,1,125,143,104
Jordan Martinook,CAR,F,59,6,9,15,0.25,42.5,0.7,0,0,77,83,11
Zach Aston-Reese,ANH,F,69,5,10,15,0.22,71.9,1.0,0,0,78,231,42
Caleb Jones,CHI,D,51,5,10,15,0.29,62.9,1.2,1,0,57,77,58
Janis Moser,ARI,D,43,4,11,15,0.35,54.7,1.3,2,0,40,32,55
Ryan Lindgren,NYR,D,78,4,11,15,0.19,109.7,1.4,0,0,73,129,141
Andrew Peeke,CLS,D,82,2,13,15,0.18,127.8,1.5,0,0,72,191,169
Ilya Lyubushkin,TOR,D,77,2,13,15,0.19,87.6,1.1,0,1,54,187,92
Justin Danforth,CLS,F,45,10,4,14,0.31,51.2,1.1,1,0,72,85,22
Maxim Mamin,FLA,F,40,7,7,14,0.35,40.3,1.0,0,0,49,59,17
Yegor Chinakhov,CLS,F,62,7,7,14,0.23,44.3,0.7,1,0,98,50,16
Dominic Toninato,WPG,F,77,7,7,14,0.18,53.1,0.7,1,4,44,92,32
Michael McCarron,NSH,F,51,7,7,14,0.27,54.2,1.1,1,1,51,116,31
Joel Armia,MON,F,60,6,8,14,0.23,56.2,0.9,3,1,103,104,27
Adam Gaudette,OTT,F,58,5,9,14,0.24,41.6,0.7,2,0,94,72,10
Ethan Bear,CAR,D,58,5,9,14,0.24,55.2,0.9,1,0,97,55,41
Derek Forbort,BOS,D,76,4,10,14,0.18,88.2,1.2,0,1,64,133,100
Jacob Middleton,MIN,D,66,4,10,14,0.21,100.1,1.5,1,1,73,118,124
Nicolas Hague,VGK,D,52,4,10,14,0.27,75.3,1.4,0,0,116,57,80
Marc-Edouard Vlasic,SJ,D,75,3,11,14,0.19,73.7,1.0,0,0,63,54,90
Jake Muzzin,TOR,D,47,3,11,14,0.3,65.5,1.4,0,1,75,105,60
Marco Scandella,STL,D,70,3,11,14,0.2,71.2,1.0,0,2,76,106,70
Carl Hagelin,WAS,F,53,3,11,14,0.26,33.8,0.6,0,1,71,32,12
Zdeno Chara,NYI,D,72,2,12,14,0.19,81.6,1.1,0,0,81,125,90
Colin Miller,BUF,D,38,2,12,14,0.37,48.3,1.3,3,0,48,50,42
Mario Ferraro,SJ,D,63,2,12,14,0.22,110.4,1.7,0,0,49,140,151
Jonas Siegenthaler,NJ,D,70,1,13,14,0.2,87.5,1.2,0,1,92,98,106
Erik Brannstrom,OTT,D,53,0,14,14,0.26,59.0,1.1,6,0,86,39,59
Nicolas Deslauriers,MIN,F,81,8,5,13,0.16,81.3,1.0,0,1,90,263,49
Brendan Lemieux,LA,F,50,8,5,13,0.26,48.2,1.0,0,0,65,122,17
Steven Lorentz,CAR,F,67,8,5,13,0.19,42.2,0.6,0,0,80,67,13
Jansen Harkins,WPG,F,77,7,6,13,0.17,40.8,0.5,0,0,67,51,18
Nick Bjugstad,MIN,F,57,7,6,13,0.23,45.5,0.8,1,0,81,99,14
Rasmus Kupari,LA,F,57,5,8,13,0.23,40.4,0.7,3,1,51,68,17
Sam Lafferty,CHI,F,56,5,8,13,0.23,52.7,0.9,0,0,80,137,26
Ryan Reaves,NYR,F,69,5,8,13,0.19,58.3,0.8,0,0,44,279,16
Chad Ruhwedel,PIT,D,78,4,9,13,0.17,83.1,1.1,0,0,82,149,86
Alexander Romanov,MON,D,79,3,10,13,0.16,121.4,1.5,0,0,107,227,144
Dylan Coghlan,VGK,D,59,3,10,13,0.22,65.5,1.1,4,0,108,62,61
Ben Hutton,VGK,D,58,3,10,13,0.22,64.7,1.1,0,0,78,49,72
Niko Mikkola,STL,D,54,3,10,13,0.24,73.7,1.4,0,1,58,109,81
Dominik Simon,ANH,F,72,3,10,13,0.18,51.5,0.7,1,0,88,72,38
Michael Del Zotto,OTT,D,26,3,10,13,0.5,41.7,1.6,2,0,35,42,34
Nick Foligno,BOS,F,64,2,11,13,0.2,57.3,0.9,1,0,99,164,31
Gustav Lindstrom,DET,D,63,1,12,13,0.21,62.5,1.0,0,0,41,59,77
Logan Stanley,WPG,D,58,1,12,13,0.22,85.6,1.5,0,1,80,131,100
Erik Cernak,TB,D,55,1,12,13,0.24,75.6,1.4,0,0,86,165,73
Dylan DeMelo,WPG,D,76,1,12,13,0.17,88.1,1.2,0,2,78,113,108
Gerald Mayhew,ANH,F,40,11,1,12,0.3,47.6,1.2,1,0,53,58,26
Nathan Walker,STL,F,30,8,4,12,0.4,40.6,1.3,0,0,38,58,22
Parker Kelly,OTT,F,41,7,5,12,0.29,51.9,1.2,0,0,48,131,30
Andrew Ladd,ARI,F,51,7,5,12,0.24,50.0,1.0,4,0,57,68,33
Kevin Rooney,NYR,F,61,6,6,12,0.2,57.0,0.9,0,0,71,84,47
Mackenzie Entwistle,CHI,F,55,5,7,12,0.22,44.8,0.8,0,1,34,129,22
Matthew Highmore,VAN,F,46,5,7,12,0.26,46.7,1.0,1,0,61,41,38
Jani Hakanpaa,DAL,D,80,4,8,12,0.15,104.1,1.3,0,1,68,248,112
Cody Eakin,BUF,F,69,4,8,12,0.17,42.7,0.6,2,1,74,33,29
Dysin Mayo,ARI,D,67,4,8,12,0.18,103.0,1.5,0,0,76,129,133
Laurent Dauphin,MON,F,38,4,8,12,0.32,37.6,1.0,0,0,50,31,27
Ryan Carpenter,CGY,F,67,3,9,12,0.18,57.8,0.9,1,0,67,136,44
Tyler Bozak,STL,F,50,3,9,12,0.24,33.6,0.7,1,2,46,20,21
Mark Pysyk,BUF,D,68,3,9,12,0.18,68.0,1.0,0,0,64,41,85
Riley Stillman,CHI,D,52,2,10,12,0.23,64.6,1.2,0,0,49,122,67
Emil Bemstrom,CLS,F,41,6,5,11,0.27,29.8,0.7,0,0,62,36,6
Jasper Weatherby,SJ,F,50,5,6,11,0.22,38.7,0.8,2,0,45,52,24
Michael Pezzetta,MON,F,51,5,6,11,0.22,40.5,0.8,0,0,49,156,8
Devin Shore,EDM,F,49,5,6,11,0.22,37.3,0.8,0,1,36,67,21
Jason Dickinson,VAN,F,62,5,6,11,0.18,54.2,0.9,0,0,66,101,43
Logan Brown,STL,F,39,4,7,11,0.28,27.6,0.7,1,0,34,22,13
Dean Kukan,CLS,D,41,3,8,11,0.27,41.9,1.0,0,0,41,43,39
Braden Schneider,NYR,D,43,2,9,11,0.26,48.0,1.1,1,0,25,60,52
Nikita Zaitsev,OTT,D,62,2,9,11,0.18,84.8,1.4,0,2,65,128,103
Danny DeKeyser,DET,D,59,0,11,11,0.19,72.6,1.2,0,0,57,49,102
Matt Benning,NSH,D,65,0,11,11,0.17,58.8,0.9,0,0,61,82,67
Adam Ruzicka,CGY,F,28,5,5,10,0.36,24.7,0.9,0,0,33,24,8
Vinni Lettieri,ANH,F,31,5,5,10,0.32,35.0,1.1,5,0,50,40,17
Quinton Byfield,LA,F,40,5,5,10,0.25,26.9,0.7,1,0,39,20,11
Christian Fischer,ARI,F,53,5,5,10,0.19,43.2,0.8,1,0,76,91,22
Joe Thornton,FLA,F,34,5,5,10,0.29,26.1,0.8,3,0,26,20,10
Connor Murphy,CHI,D,57,4,6,10,0.18,109.1,1.9,0,0,71,130,150
Travis Hamonic,OTT,D,43,4,6,10,0.23,76.0,1.8,0,0,82,73,93
Karson Kuhlman,SEA,F,44,3,7,10,0.23,36.9,0.8,0,0,68,71,20
Cam York,PHI,D,30,3,7,10,0.33,40.3,1.3,4,0,33,20,40
Colin White,OTT,F,24,3,7,10,0.42,26.0,1.1,7,0,47,28,4
Jake Walman,DET,D,51,3,7,10,0.2,55.9,1.1,1,0,87,47,58
Andy Greene,NYI,D,69,2,8,10,0.14,84.1,1.2,0,0,52,39,126
Connor Clifton,BOS,D,60,2,8,10,0.17,66.6,1.1,0,0,80,156,62
Kale Clague,MON,D,36,2,8,10,0.28,29.0,0.8,3,0,26,14,23
Jacob Bryson,BUF,D,73,1,9,10,0.14,60.8,0.8,7,0,43,55,73
Mattias Samuelsson,BUF,D,42,0,10,10,0.24,54.4,1.3,0,0,44,100,60
Scott Reedy,SJ,F,35,7,2,9,0.26,35.2,1.0,3,0,33,14,26
Noah Cates,PHI,F,16,5,4,9,0.56,21.9,1.3,1,0,23,21,6
Mathieu Perreault,MON,F,25,4,5,9,0.36,25.2,1.0,1,0,27,35,11
Patrick Brown,PHI,F,44,4,5,9,0.2,46.1,1.0,0,0,51,100,36
Klim Kostin,STL,F,40,4,5,9,0.23,29.6,0.7,0,0,31,90,9
Lucas Carlsson,FLA,D,40,3,6,9,0.23,34.5,0.8,0,0,41,39,29
Zack MacEwen,PHI,F,75,3,6,9,0.12,52.1,0.7,0,0,82,159,32
Alexei Protas,WAS,F,33,3,6,9,0.27,23.9,0.7,1,0,34,20,12
Matty Beniers,SEA,F,10,3,6,9,0.9,18.5,1.8,4,0,18,7,4
Kris Russell,EDM,D,31,2,7,9,0.29,51.7,1.6,0,0,34,33,68
Gabriel Carlsson,CLS,D,38,2,7,9,0.24,32.0,0.8,0,0,18,27,33
Kyle Capobianco,ARI,D,45,2,7,9,0.2,43.3,1.0,2,0,40,43,46
Anton Blidh,BOS,F,32,2,7,9,0.28,30.5,0.9,0,0,28,82,17
Cal Foote,TB,D,56,2,7,9,0.16,52.7,0.9,0,0,49,83,57
Robert Hagg,FLA,D,64,1,8,9,0.14,80.7,1.2,0,0,59,138,102
Jack Johnson,COL,D,74,1,8,9,0.12,59.3,0.8,0,1,57,91,68
Anders Bjork,BUF,F,58,5,3,8,0.14,27.2,0.5,0,0,51,11,16
Ryan Dzingel,SJ,F,32,5,3,8,0.25,22.7,0.7,0,0,32,20,9
Antoine Roussel,ARI,F,53,4,4,8,0.15,42.3,0.8,0,0,59,74,34
Calvin de Haan,CHI,D,69,4,4,8,0.12,123.3,1.8,0,0,107,146,172
Brad Richardson,VAN,F,44,4,4,8,0.18,31.0,0.7,0,0,31,59,20
Brendan Smith,CAR,D,45,4,4,8,0.18,45.6,1.0,0,0,63,73,40
Fabian Zetterlund,NJ,F,14,3,5,8,0.57,19.7,1.4,0,0,36,16,7
Noel Acciari,FLA,F,20,3,5,8,0.4,27.0,1.4,0,0,32,48,16
Dakota Joshua,STL,F,30,3,5,8,0.27,26.8,0.9,0,0,31,77,10
Alec Martinez,VGK,D,26,3,5,8,0.31,50.8,1.9,0,0,32,26,68
Zach Bogosian,TB,D,48,3,5,8,0.17,45.4,0.9,0,0,60,114,34
Will Borgen,SEA,D,36,2,6,8,0.22,40.3,1.1,0,0,49,89,33
Jordan Oesterle,DET,D,45,2,6,8,0.18,41.0,0.9,0,0,63,27,44
Will Butcher,BUF,D,37,2,6,8,0.22,31.6,0.8,2,0,35,11,32
Jaycob Megna,SJ,D,44,2,6,8,0.18,67.1,1.5,0,0,40,71,92
Jordan Spence,LA,D,24,2,6,8,0.33,32.8,1.3,2,0,41,32,29
Mikey Anderson,LA,D,57,2,6,8,0.14,63.6,1.1,0,0,58,133,69
Kole Lind,SEA,F,23,2,6,8,0.35,19.9,0.8,0,0,31,18,10
Olli Maatta,LA,D,66,1,7,8,0.12,68.8,1.0,0,0,61,67,94
Jordie Benn,MIN,D,39,1,7,8,0.21,38.3,1.0,0,0,37,51,41
Tobias Bjornfot,LA,D,70,0,8,8,0.11,48.4,0.7,0,0,53,61,58
Gavin Bayreuther,CLS,D,43,0,8,8,0.19,39.9,0.9,0,0,44,50,45
Alex Chmelevski,SJ,F,19,0,8,8,0.42,15.1,0.8,0,0,31,20,4
Gabriel Vilardi,LA,F,25,5,2,7,0.28,22.2,0.9,2,0,41,6,9
Brendan Gaunce,CLS,F,30,5,2,7,0.23,25.1,0.8,0,0,44,42,9
Paul Byron,MON,F,27,4,3,7,0.26,24.4,0.9,0,0,33,66,7
Joe Snively,WAS,F,12,4,3,7,0.58,15.3,1.2,1,0,21,2,3
Henrik Borgstrom,CHI,F,52,4,3,7,0.13,27.7,0.5,1,0,41,26,19
Givani Smith,DET,F,46,4,3,7,0.15,34.6,0.7,0,0,50,86,20
Dylan Gambrell,OTT,F,63,3,4,7,0.11,46.1,0.7,0,1,58,103,39
Josh Mahura,ANH,D,38,3,4,7,0.18,45.4,1.2,0,0,36,63,51
Julien Gauthier,NYR,F,49,3,4,7,0.14,33.7,0.7,0,0,69,98,14
Boris Katchouk,CHI,F,59,3,4,7,0.12,39.6,0.7,0,0,58,138,20
Matt Martin,NYI,F,71,3,4,7,0.1,53.1,0.7,0,0,66,235,26
Tyler Johnson,CHI,F,26,3,4,7,0.27,21.2,0.8,2,0,30,37,7
Gregory Hofmann,FA,F,24,2,5,7,0.29,19.6,0.8,0,0,33,23,10
Patrik Nemeth,NYR,D,63,2,5,7,0.11,76.7,1.2,0,0,52,115,102
